"code","confederate_interaction","confederate_post","confederate_pre","subject_interaction","subject_post","subject_pre","convergence","short_convergence","X","personal","interpersonal","Age","Gender","Ethnicity","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","speaker","comparison","diff"
"000",1.76770209364869,1.76716413139943,1.78430984603322,1.10190323970157,1.22985743201711,1.20735713802272,0.039646008628194,-0.0888461459366157,1,"F","N",37,"male","White",2.5,3,2.5,1.5,3,"confederate","change",0.0171457146337983
"001",1.82381967383742,1.73916467626758,1.80538130661147,2.03688973492695,1.96078372629587,1.94073566417288,-0.0862646924668913,-0.0777157035281251,2,"L","N",21,"female","Japanese",1.5,2.5,2.5,3,3.5,"confederate","change",0.0662166303438956
"002",1.72837686605816,1.70706101224418,1.71801035764591,1.85805719072917,1.81530821540614,1.7905336399886,-0.0357239208192808,-0.0571570423283345,3,"L","S",21,"female","Taiwanese",2,3.5,3.5,2.5,4,"confederate","change",0.0109493454017324
"003",1.71549868905618,1.73396692680598,1.78668088210139,1.87799725093019,1.8297022830357,1.79236648007203,-0.0900497582590742,-0.156812963903369,4,"F","S",30,"female","White",2.5,3.5,3.5,2.5,4,"confederate","change",0.0527139552954075
"004",1.63335057026565,1.73700663773475,1.77815358182261,1.81935179533623,1.79330284374309,1.7902889374203,-0.0441608504106463,-0.173865869472897,5,"F","N",20,"female","White",2,2,2.5,3.5,4.5,"confederate","change",0.0411469440878547
"005",1.82093562442101,1.75536033467614,1.70452762985517,1.87618304987625,1.98704185399993,1.8813941640586,-0.054814985120361,0.12161910874819,6,"L","N",39,"female","White",3,3,3.5,2.5,3,"confederate","change",-0.0508327048209716
"006",1.5880519734574,1.68199039579447,1.73561013063786,1.6754079287662,1.58571030900297,1.68235830122142,-0.0430282573750613,-0.0341041258923565,7,"L","S",22,"female","Filipino, Chinese, Japanese, Hispanic",4.5,3.5,3,2,2,"confederate","change",0.053619734843386
"007",1.66769163971871,1.72439204347116,1.72290206567625,2.11351468121958,1.99638024891883,1.98529196513836,-0.00959830598555245,-0.18343314203876,8,"F","S",19,"female","Hispanic",2.5,1.5,2.5,3,3.5,"confederate","change",-0.00148997779491111
"008",1.600351628904,1.74953626995949,1.71644113985056,1.75817017919915,1.82157772280394,1.85370605597935,0.0652234632843434,-0.0205536341663601,9,"F","N",20,"female","Hispanic",2.5,3.5,3.5,2.5,3.5,"confederate","change",-0.0330951301089324
"009",1.6201066130953,1.75201176653733,1.72561833862789,1.67985256507052,1.64084720082953,1.64278200334269,-0.0283282304226007,0.0230903833099814,10,"L","N",20,"female","Korean/White",2,1.5,4,3,3.5,"confederate","change",-0.0263934279094413
"010",1.70069469196646,1.78852216088612,1.80365085634802,1.7378227722325,1.7542449588293,1.65466633147926,0.114707322811938,0.111856444602722,11,"L","S",18,"female","Black",2.5,2.5,2.5,4,3.5,"confederate","change",0.0151286954619037
"011",1.76448013516872,1.70759635518424,1.75355772748446,1.81750546364616,1.69316058450524,1.71989244776594,0.0192295090395145,-0.0193600487589243,12,"F","S",24,"female","Korean",1.5,3,2.5,4.5,3.5,"confederate","change",0.0459613723002112
"012",1.70333922900726,1.72124226380685,1.67732302823197,1.95735111160789,1.99544435857291,1.94943747285343,-0.00208765014460033,0.0181025620208275,13,"F","N",19,"female","Chinese",2,3,3,3,3.5,"confederate","change",-0.0439192355748803
"013",1.64596340224063,1.69223775005974,1.71180021174651,1.64407800015802,1.89841370184788,1.834024994479,-0.0839511690556627,0.12033938064987,14,"L","N",21,"female","Chinese",1.5,3,2,3,3,"confederate","change",0.0195624616867789
"015",1.6510504934589,1.74900653211894,1.77041736720033,1.67682327561222,1.76753344328571,1.73837684645577,0.0135136095777835,0.00626773859123686,16,"F","S",20,"female","Taiwanese",2.5,3.5,2.5,1.5,2.5,"confederate","change",0.021410835081396
"016",1.70706750776012,1.73658368017334,1.84805272323242,0.793629675055004,0.873141342015203,0.957305149439571,0.0273052356347117,-0.0226902589122693,17,"F","N",19,"male","Korean",3.5,3,2.5,1,3,"confederate","change",0.111469043059079
"017",1.71700280903973,1.7701940435182,1.80078061125334,1.62901588563525,1.75154964650278,1.79499588561402,-0.0128596713760956,-0.0822021977651541,18,"L","N",19,"female","White",2,3,3.5,3,3,"confederate","change",0.0305865677351354
"018",1.69851035302668,1.75076567211674,1.7373532450647,2.00628625057925,2.13613727410976,2.09091618998552,-0.0318086570721972,0.0457870473682471,19,"L","S",20,"female","American Indian/White",2,3.5,2.5,3.5,3.5,"confederate","change",-0.0134124270520342
"019",1.66763665894914,1.71165750225731,1.81231050501835,1.06569363771053,1.22825754532723,1.10709262937527,0.221817918712996,0.10327485440446,20,"F","S",69,"male","White",2.5,4,4.5,2,4.5,"confederate","change",0.100653002761039
"020",1.52230039658711,1.68012257400611,1.71829769147699,0.866554579139889,1.00046018905659,1.03291242654858,0.00572287997888732,0.0296394474811899,21,"F","N",27,"male","Chinese/White",3.5,4,2,1,4,"confederate","change",0.038175117470872
"023",1.60996313974234,1.74599569693382,1.74069678199633,1.76681833705063,1.69040878374512,1.61108631696009,0.0740235518475429,-0.0272447322720513,24,"F","S",19,"female","Vietnamese",4,4,2.5,2.5,2.5,"confederate","change",-0.00529891493748291
"024",1.59392383819985,1.73051839621217,1.75189722234869,1.39465343202252,1.69400360321693,1.64883562438565,0.0665468049678017,-0.096208808214296,25,"F","N",22,"female","Black/White",4,1.5,2.5,3,4.5,"confederate","change",0.0213788261365262
"025",1.58199736273405,1.69635772003686,1.68066046206631,1.42784744968096,1.71159647080104,1.69914143592931,0.00324222309882383,-0.135668939190095,26,"L","N",19,"female","Chinese",1,2.5,3.5,4,3.5,"confederate","change",-0.0156972579705539
"026",1.57806460006429,1.75724593353036,1.73573581986138,0.961292397643817,1.07068301659928,1.10431976113698,-0.0551468582066794,0.014643856303923,27,"L","S",19,"male","Indian",2.5,2.5,3,3,3,"confederate","change",-0.0215101136689844
"028",1.66844669489266,1.77262286437763,1.80091792220003,0.800762627054714,0.735309512225348,0.714878014544516,0.0487265555032266,0.218355839817567,29,"F","N",18,"male","Korean",3,4.5,3.5,1,3.5,"confederate","change",0.0282950578223948
"029",1.59773677839899,1.77368581161121,1.7798627691721,0.671709879993895,0.719017768875351,0.717518180191722,0.00767654624452252,0.13631769057529,30,"L","N",64,"male","Black",1.5,2.5,3,3,3.5,"confederate","change",0.00617695756089365
"031",1.58841436085939,1.67123279402491,1.69401791928744,1.78762330158462,1.79549096548398,1.85570336536009,0.0374272746135835,-0.0375234946525784,32,"F","S",22,"female","White",2,2.5,2,4,3.5,"confederate","change",0.0227851252625333
"032",1.46978484510583,1.68174199952571,1.7527902121806,0.640809866973778,0.695346052002943,0.719488514609089,0.046905750048747,0.204326719439461,33,"F","N",35,"male","White",2,2.5,4,2,4.5,"confederate","change",0.0710482126548937
"033",1.60567309369346,1.79446557355079,1.70783574226918,1.65747030221664,1.93934868389656,1.72939167755548,-0.123327175059478,-0.0302412732368804,34,"L","N",19,"female","Indian",3.5,2.5,4,2,3.5,"confederate","change",-0.0866298312816014
"034",1.63171156007347,1.68854755293616,1.77061316095142,0.868025397166411,1.05903253541139,0.976955065093141,0.164143078333514,0.0299719329512247,35,"L","S",18,"male","White/Hispanic",3.5,3,3,2,2,"confederate","change",0.0820656080152653
"035",1.5941270764994,1.65872850688782,1.68415297798982,0.957688725986041,1.15123322667278,1.09253191641858,0.0841257813562013,-0.0448172889421223,36,"F","S",21,"male","Korean",3,2,2.5,3,3,"confederate","change",0.0254244711019966
"036",1.70790364574413,1.64328294018352,1.74778267366046,1.69212362294708,1.5995234562452,1.55167374866773,0.152349441054408,0.180328902195679,37,"F","N",33,"female","Chinese/Vietnamese",3.5,3.5,3,2.5,3.5,"confederate","change",0.104499733476942
"000",1.76770209364869,1.76716413139943,1.78430984603322,1.10190323970157,1.22985743201711,1.20735713802272,0.039646008628194,-0.0888461459366157,1,"F","N",37,"male","White",2.5,3,2.5,1.5,3,"subject","change",-0.0225002939943957
"001",1.82381967383742,1.73916467626758,1.80538130661147,2.03688973492695,1.96078372629587,1.94073566417288,-0.0862646924668913,-0.0777157035281251,2,"L","N",21,"female","Japanese",1.5,2.5,2.5,3,3.5,"subject","change",-0.0200480621229957
"002",1.72837686605816,1.70706101224418,1.71801035764591,1.85805719072917,1.81530821540614,1.7905336399886,-0.0357239208192808,-0.0571570423283345,3,"L","S",21,"female","Taiwanese",2,3.5,3.5,2.5,4,"subject","change",-0.0247745754175484
"003",1.71549868905618,1.73396692680598,1.78668088210139,1.87799725093019,1.8297022830357,1.79236648007203,-0.0900497582590742,-0.156812963903369,4,"F","S",30,"female","White",2.5,3.5,3.5,2.5,4,"subject","change",-0.0373358029636668
"004",1.63335057026565,1.73700663773475,1.77815358182261,1.81935179533623,1.79330284374309,1.7902889374203,-0.0441608504106463,-0.173865869472897,5,"F","N",20,"female","White",2,2,2.5,3.5,4.5,"subject","change",-0.00301390632279164
"005",1.82093562442101,1.75536033467614,1.70452762985517,1.87618304987625,1.98704185399993,1.8813941640586,-0.054814985120361,0.12161910874819,6,"L","N",39,"female","White",3,3,3.5,2.5,3,"subject","change",-0.105647689941333
"006",1.5880519734574,1.68199039579447,1.73561013063786,1.6754079287662,1.58571030900297,1.68235830122142,-0.0430282573750613,-0.0341041258923565,7,"L","S",22,"female","Filipino, Chinese, Japanese, Hispanic",4.5,3.5,3,2,2,"subject","change",0.0966479922184473
"007",1.66769163971871,1.72439204347116,1.72290206567625,2.11351468121958,1.99638024891883,1.98529196513836,-0.00959830598555245,-0.18343314203876,8,"F","S",19,"female","Hispanic",2.5,1.5,2.5,3,3.5,"subject","change",-0.0110882837804636
"008",1.600351628904,1.74953626995949,1.71644113985056,1.75817017919915,1.82157772280394,1.85370605597935,0.0652234632843434,-0.0205536341663601,9,"F","N",20,"female","Hispanic",2.5,3.5,3.5,2.5,3.5,"subject","change",0.032128333175411
"009",1.6201066130953,1.75201176653733,1.72561833862789,1.67985256507052,1.64084720082953,1.64278200334269,-0.0283282304226007,0.0230903833099814,10,"L","N",20,"female","Korean/White",2,1.5,4,3,3.5,"subject","change",0.00193480251315936
"010",1.70069469196646,1.78852216088612,1.80365085634802,1.7378227722325,1.7542449588293,1.65466633147926,0.114707322811938,0.111856444602722,11,"L","S",18,"female","Black",2.5,2.5,2.5,4,3.5,"subject","change",-0.0995786273500345
"011",1.76448013516872,1.70759635518424,1.75355772748446,1.81750546364616,1.69316058450524,1.71989244776594,0.0192295090395145,-0.0193600487589243,12,"F","S",24,"female","Korean",1.5,3,2.5,4.5,3.5,"subject","change",0.0267318632606968
"012",1.70333922900726,1.72124226380685,1.67732302823197,1.95735111160789,1.99544435857291,1.94943747285343,-0.00208765014460033,0.0181025620208275,13,"F","N",19,"female","Chinese",2,3,3,3,3.5,"subject","change",-0.0460068857194806
"013",1.64596340224063,1.69223775005974,1.71180021174651,1.64407800015802,1.89841370184788,1.834024994479,-0.0839511690556627,0.12033938064987,14,"L","N",21,"female","Chinese",1.5,3,2,3,3,"subject","change",-0.0643887073688838
"015",1.6510504934589,1.74900653211894,1.77041736720033,1.67682327561222,1.76753344328571,1.73837684645577,0.0135136095777835,0.00626773859123686,16,"F","S",20,"female","Taiwanese",2.5,3.5,2.5,1.5,2.5,"subject","change",-0.0291565968299405
"016",1.70706750776012,1.73658368017334,1.84805272323242,0.793629675055004,0.873141342015203,0.957305149439571,0.0273052356347117,-0.0226902589122693,17,"F","N",19,"male","Korean",3.5,3,2.5,1,3,"subject","change",0.0841638074243676
"017",1.71700280903973,1.7701940435182,1.80078061125334,1.62901588563525,1.75154964650278,1.79499588561402,-0.0128596713760956,-0.0822021977651541,18,"L","N",19,"female","White",2,3,3.5,3,3,"subject","change",0.0434462391112309
"018",1.69851035302668,1.75076567211674,1.7373532450647,2.00628625057925,2.13613727410976,2.09091618998552,-0.0318086570721972,0.0457870473682471,19,"L","S",20,"female","American Indian/White",2,3.5,2.5,3.5,3.5,"subject","change",-0.0452210841242313
"019",1.66763665894914,1.71165750225731,1.81231050501835,1.06569363771053,1.22825754532723,1.10709262937527,0.221817918712996,0.10327485440446,20,"F","S",69,"male","White",2.5,4,4.5,2,4.5,"subject","change",-0.121164915951957
"020",1.52230039658711,1.68012257400611,1.71829769147699,0.866554579139889,1.00046018905659,1.03291242654858,0.00572287997888732,0.0296394474811899,21,"F","N",27,"male","Chinese/White",3.5,4,2,1,4,"subject","change",0.0324522374919847
"023",1.60996313974234,1.74599569693382,1.74069678199633,1.76681833705063,1.69040878374512,1.61108631696009,0.0740235518475429,-0.0272447322720513,24,"F","S",19,"female","Vietnamese",4,4,2.5,2.5,2.5,"subject","change",-0.0793224667850259
"024",1.59392383819985,1.73051839621217,1.75189722234869,1.39465343202252,1.69400360321693,1.64883562438565,0.0665468049678017,-0.096208808214296,25,"F","N",22,"female","Black/White",4,1.5,2.5,3,4.5,"subject","change",-0.0451679788312755
"025",1.58199736273405,1.69635772003686,1.68066046206631,1.42784744968096,1.71159647080104,1.69914143592931,0.00324222309882383,-0.135668939190095,26,"L","N",19,"female","Chinese",1,2.5,3.5,4,3.5,"subject","change",-0.0124550348717301
"026",1.57806460006429,1.75724593353036,1.73573581986138,0.961292397643817,1.07068301659928,1.10431976113698,-0.0551468582066794,0.014643856303923,27,"L","S",19,"male","Indian",2.5,2.5,3,3,3,"subject","change",0.0336367445376951
