"code","confederate_interaction","confederate_post","confederate_pre","subject_interaction","subject_post","subject_pre","convergence","short_convergence","confederate_change","confederate_shortchange","subject_change","subject_shortchange","X","personal","interpersonal","Age","Gender","Ethnicity","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
"000",1.76770209364869,1.76716413139943,1.78430984603322,1.10190323970157,1.22985743201711,1.20735713802272,0.039646008628194,-0.0888461459366157,0.0171457146337983,0.0166077523845358,-0.0225002939943957,0.105453898321151,1,"F","N",37,"male","White",2.5,3,2.5,1.5,3
"001",1.82381967383742,1.73916467626758,1.80538130661147,2.03688973492695,1.96078372629587,1.94073566417288,-0.0862646924668913,-0.0777157035281251,0.0662166303438956,-0.0184383672259494,-0.0200480621229957,-0.0961540707540744,2,"L","N",21,"female","Japanese",1.5,2.5,2.5,3,3.5
"002",1.72837686605816,1.70706101224418,1.71801035764591,1.85805719072917,1.81530821540614,1.7905336399886,-0.0357239208192808,-0.0571570423283345,0.0109493454017324,-0.0103665084122446,-0.0247745754175484,-0.0675235507405791,3,"L","S",21,"female","Taiwanese",2,3.5,3.5,2.5,4
"003",1.71549868905618,1.73396692680598,1.78668088210139,1.87799725093019,1.8297022830357,1.79236648007203,-0.0900497582590742,-0.156812963903369,0.0527139552954075,0.0711821930452106,-0.0373358029636668,-0.0856307708581587,4,"F","S",30,"female","White",2.5,3.5,3.5,2.5,4
"004",1.63335057026565,1.73700663773475,1.77815358182261,1.81935179533623,1.79330284374309,1.7902889374203,-0.0441608504106463,-0.173865869472897,0.0411469440878547,0.144803011556961,-0.00301390632279164,-0.0290628579159369,5,"F","N",20,"female","White",2,2,2.5,3.5,4.5
"005",1.82093562442101,1.75536033467614,1.70452762985517,1.87618304987625,1.98704185399993,1.8813941640586,-0.054814985120361,0.12161910874819,-0.0508327048209716,-0.116407994565842,-0.105647689941333,0.0052111141823481,6,"L","N",39,"female","White",3,3,3.5,2.5,3
"006",1.5880519734574,1.68199039579447,1.73561013063786,1.6754079287662,1.58571030900297,1.68235830122142,-0.0430282573750613,-0.0341041258923565,0.053619734843386,0.147558157180455,0.0966479922184473,0.0069503724552169,7,"L","S",22,"female","Filipino, Chinese, Japanese, Hispanic",4.5,3.5,3,2,2
"007",1.66769163971871,1.72439204347116,1.72290206567625,2.11351468121958,1.99638024891883,1.98529196513836,-0.00959830598555245,-0.18343314203876,-0.00148997779491111,0.0552104259575379,-0.0110882837804636,-0.128222716081222,8,"F","S",19,"female","Hispanic",2.5,1.5,2.5,3,3.5
"008",1.600351628904,1.74953626995949,1.71644113985056,1.75817017919915,1.82157772280394,1.85370605597935,0.0652234632843434,-0.0205536341663601,-0.0330951301089324,0.116089510946563,0.032128333175411,0.0955358767802026,9,"F","N",20,"female","Hispanic",2.5,3.5,3.5,2.5,3.5
"009",1.6201066130953,1.75201176653733,1.72561833862789,1.67985256507052,1.64084720082953,1.64278200334269,-0.0283282304226007,0.0230903833099814,-0.0263934279094413,0.105511725532588,0.00193480251315936,-0.0370705617278313,10,"L","N",20,"female","Korean/White",2,1.5,4,3,3.5
"010",1.70069469196646,1.78852216088612,1.80365085634802,1.7378227722325,1.7542449588293,1.65466633147926,0.114707322811938,0.111856444602722,0.0151286954619037,0.102956164381562,-0.0995786273500345,-0.0831564407532388,11,"L","S",18,"female","Black",2.5,2.5,2.5,4,3.5
"011",1.76448013516872,1.70759635518424,1.75355772748446,1.81750546364616,1.69316058450524,1.71989244776594,0.0192295090395145,-0.0193600487589243,0.0459613723002112,-0.0109224076842616,0.0267318632606968,-0.097613015880216,12,"F","S",24,"female","Korean",1.5,3,2.5,4.5,3.5
"012",1.70333922900726,1.72124226380685,1.67732302823197,1.95735111160789,1.99544435857291,1.94943747285343,-0.00208765014460033,0.0181025620208275,-0.0439192355748803,-0.0260162007752922,-0.0460068857194806,-0.00791363875446471,13,"F","N",19,"female","Chinese",2,3,3,3,3.5
